2 ﻿Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Type,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
1624 college cardigan,Gray,No,1200,300,Gray,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday,Yes,For sale,TopsTexTopOuterLCollegecardigan2,7753,BSkE3FjDaGX3wieX9
1625 college cardigan,Orange,No,1200,300,Orange,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday,Yes,For sale,TopsTexTopOuterLCollegecardigan3,7754,cSYWL2dCgwtHcwKX2
1626 college cardigan,White,No,1200,300,White,Yellow,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday,Yes,For sale,TopsTexTopOuterLCollegecardigan4,7755,4FqcSDovaBQ8AHujS
1627 color-block dress shirt,Blue,No,960,240,Light blue,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Simple,everyday,Yes,For sale,TopsTexTopYshirtsLTwotone0,3316,XAfQ8miFRhqMuD8qK
1628 color-block dress shirt,Red,No,960,240,Red,Brown,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday,Yes,For sale,TopsTexTopYshirtsLTwotone1,8489,aH5dRYE4mh4jm3nQP
1629 color-block dress shirt,Green,No,960,240,Green,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday,Yes,For sale,TopsTexTopYshirtsLTwotone2,8490,MDpibSS8ZcnyRSofY
1630 color-block dress shirt,Purple,No,960,240,Pink,Purple,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday,Yes,For sale,TopsTexTopYshirtsLTwotone3,8491,ksZmQ4CkZG9fiXmnE
1631 color-block dress shirt,Yellow,No,960,240,Yellow,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday,Yes,For sale,TopsTexTopYshirtsLTwotone4,8492,J7hQxHwcdnvZxvzC3
1632 color-block dress shirt,Gray,No,960,240,Gray,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday,Yes,For sale,TopsTexTopYshirtsLTwotone5,8493,wr3KXHy4tdaKNM5cB
1633 colorful striped sweater,"Navy, light blue & pink",No,1200,300,Blue,Red,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,everyday,Yes,For sale,TopsTexTopTshirtsLMulti0,4613,p8FitwTB3Nm8Enhkj
1634 colorful striped sweater,"White, blue & green",No,1200,300,White,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,everyday,Yes,For sale,TopsTexTopTshirtsLMulti1,7639,G3Kv6zDYR3yiKHHPr
1635 colorful striped sweater,"White, yellow & red",No,1200,300,White,Red,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,everyday,Yes,For sale,TopsTexTopTshirtsLMulti2,7640,DRuQWXf5FpagTGLSW
1636 colorful striped sweater,"Black, coral & pink",No,1200,300,Pink,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,everyday,Yes,For sale,TopsTexTopTshirtsLMulti3,7641,wQCmBFKLs2M86kkTy
1637 colorful striped sweater,"Orange, yellow & black",No,1200,300,Brown,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,everyday,Yes,For sale,TopsTexTopTshirtsLMulti4,7642,SZ7CyjAmHmf7uSbYy
1638 colorful striped sweater,"Gray, white & light blue",No,1200,300,Gray,Light blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Elegant,everyday,Yes,For sale,TopsTexTopTshirtsLMulti5,7643,szvG9EkBCRinLR7XJ
1639 comedian's outfit,Orange,No,2500,625,Orange,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,party; theatrical,Yes,For sale,TopsTexTopYshirtsLComedian0,3197,9j3jmeuoxez6Zdgqd
1640 comedian's outfit,Blue,No,2500,625,Blue,Purple,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,party; theatrical,Yes,For sale,TopsTexTopYshirtsLComedian1,8097,uc97SyoCLSecmSNzE
1641 comedian's outfit,Red,No,2500,625,Red,Orange,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,party; theatrical,Yes,For sale,TopsTexTopYshirtsLComedian2,8098,DNwMYtT4zhYTTataY
1642 comedian's outfit,Yellow,No,2500,625,Yellow,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,party; theatrical,Yes,For sale,TopsTexTopYshirtsLComedian3,8099,RdN68pDBLfGx3pj5F
1643 comedian's outfit,Green,No,2500,625,Green,Light blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,party; theatrical,Yes,For sale,TopsTexTopYshirtsLComedian4,8100,JfvTibBykhm8Wphd5
1644 comedian's outfit,Purple,No,2500,625,Purple,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,party; theatrical,Yes,For sale,TopsTexTopYshirtsLComedian5,8101,jAj7k47q7pSFZsvsy
1645 comedian's outfit,Aquamarine,No,2500,625,Green,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,party; theatrical,Yes,For sale,TopsTexTopYshirtsLComedian6,8102,L4EnDdk6XeZ3uQ2w2
1646 comedian's outfit,White,No,2500,625,White,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,party; theatrical,Yes,For sale,TopsTexTopYshirtsLComedian7,8103,nndgnyqo62cbN6F5b
1647 Coral Nook Inc. aloha shirt,NA,No,NFS,3000,Pink,White,1x1,600,Nook Miles Shop,,All Year,No,1.2.0,Simple,comfy; vacation,Yes,Not for sale,TopsTexTopYshirtsHNookpink0,12982,LdK5ZHj7QmxKLHAwN
1648 coverall coat,Avocado,No,1120,280,Green,Orange,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Simple,everyday; outdoorsy,Yes,For sale,TopsTexTopCoatLCoverall0,3680,H6rTbnzfa5t7fo9CB
1649 coverall coat,Navy blue,No,1120,280,Blue,Beige,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Simple,everyday; outdoorsy,Yes,For sale,TopsTexTopCoatLCoverall1,9288,td7xNu3cNbzkTnSpq
1650 coverall coat,Beige,No,1120,280,Beige,Brown,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Simple,everyday; outdoorsy,Yes,For sale,TopsTexTopCoatLCoverall2,9289,Gbqoa3Bo7jmiXwGL4
1651 coverall coat,Red,No,1120,280,Red,Brown,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Simple,everyday; outdoorsy,Yes,For sale,TopsTexTopCoatLCoverall3,9290,y6SwYuAqPSKTSAShb
1652 cowboy shirt,White,No,2100,525,Beige,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,outdoorsy; work,Yes,For sale,TopsTexTopYshirtsLCowboy0,4576,ksf9hH6zoSsYoCQfq
1653 cowboy shirt,Red,No,2100,525,Red,Brown,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Simple,outdoorsy; work,Yes,For sale,TopsTexTopYshirtsLCowboy1,9451,kqp6bPBsbTvDkAoDj
1654 cowboy shirt,Blue,No,2100,525,Blue,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,outdoorsy; work,Yes,For sale,TopsTexTopYshirtsLCowboy2,9452,56iYHzsJysCowaJBu
1655 cowboy shirt,Light blue,No,2100,525,Light blue,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,outdoorsy; work,Yes,For sale,TopsTexTopYshirtsLCowboy3,9453,aWmuCADaeCR4aDzr7
1656 cowboy shirt,Brown,No,2100,525,Orange,Brown,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,outdoorsy; work,Yes,For sale,TopsTexTopYshirtsLCowboy4,9454,s6nYTyvvSSM7Hmc83
1657 cycling shirt,Blue & white,No,1200,300,White,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,outdoorsy; sporty,Yes,For sale,TopsTexTopTshirtsHCycle0,3258,PSojdDwsKtLjpzykh
1658 cycling shirt,Black & blue,No,1200,300,Blue,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,outdoorsy; sporty,Yes,For sale,TopsTexTopTshirtsHCycle1,9386,zCvPLQupxa483ozu7
1659 cycling shirt,Black & red,No,1200,300,Red,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,outdoorsy; sporty,Yes,For sale,TopsTexTopTshirtsHCycle2,9387,kFCCGaiqxx5TmPrvH
1660 cycling shirt,Yellow & black,No,1200,300,Black,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,outdoorsy; sporty,Yes,For sale,TopsTexTopTshirtsHCycle3,9388,h8uPqHAuaKo3oKyqn
1661 cycling shirt,Red & green,No,1200,300,Green,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,outdoorsy; sporty,Yes,For sale,TopsTexTopTshirtsHCycle4,9389,PRCotYodnjuJDzuMh
1662 cycling shirt,Red & orange,No,1200,300,Orange,Gray,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,outdoorsy; sporty,Yes,For sale,TopsTexTopTshirtsHCycle5,9390,6s2fwy5gJtesiQEcs
1663 cycling shirt,Lime & light blue,No,1200,300,Light blue,Purple,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,outdoorsy; sporty,Yes,For sale,TopsTexTopTshirtsHCycle6,9391,hFDtYQbX526Aqzt4N
1664 cycling shirt,Purple & pink,No,1200,300,Pink,Purple,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,outdoorsy; sporty,Yes,For sale,TopsTexTopTshirtsHCycle7,9392,hpfAfATumuGtAfiaT
1665 DAL apron,NA,No,NFS,1010,Blue,White,1x1,NA,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,All Year,No,1.0.0,Simple,vacation; work,Yes,Not for sale,TopsTexTopCoatHDal0,12126,YXGkXoivMwd63Zwee
1666 DAL pilot jacket,NA,No,NFS,1010,Green,Green,1x1,NA,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,All Year,No,1.0.0,Cool,outdoorsy; vacation; work,Yes,Not for sale,TopsTexTopOuterLDal0,12127,ZzrKeN4mByPJgGRgw
1667 DAL tee,NA,No,NFS,1010,Blue,White,1x1,NA,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,All Year,No,1.0.0,Simple,everyday; comfy; vacation,Yes,Not for sale,TopsTexTopTshirtsHDal0,12125,QXjGuLvD5TbT8kqM5
1668 dance-team jacket,Black,No,1680,420,Black,Yellow,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Active,sporty; theatrical,Yes,For sale,TopsTexTopYshirtsLCool0,5317,QW8B52WGeksHNBBST
1669 dance-team jacket,White,No,1680,420,White,Yellow,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,sporty; theatrical,Yes,For sale,TopsTexTopYshirtsLCool1,7617,DSihoYLzTmk2v9XKx
1670 dance-team jacket,Purple,No,1680,420,Purple,Yellow,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,sporty; theatrical,Yes,For sale,TopsTexTopYshirtsLCool2,7618,MAR5bWdE8wBz8eh7q
1671 dance-team jacket,Red,No,1680,420,Red,Yellow,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,sporty; theatrical,Yes,For sale,TopsTexTopYshirtsLCool3,7619,AjEjnqHMq3L3nx2Za
1672 danger tank,NA,No,640,160,Yellow,Black,1x1,NA,Nook Shopping Catalog,,Summer,No,1.0.0,Active,goth; comfy; vacation,Yes,For sale,TopsTexTopTshirtsNDanger0,8192,5wkzgmR4e7eegZkfc
1673 denim jacket,Blue,No,1400,350,Blue,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy,Yes,For sale,TopsTexTopYshirtsLDenim0,3209,JeA5bRrD5c74wJshT
1674 denim jacket,Light blue,No,1400,350,Light blue,Light blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy,Yes,For sale,TopsTexTopYshirtsLDenim1,11419,6jwvHpnSiFWMY3Aww
1675 denim jacket,Navy blue,No,1400,350,Blue,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy,Yes,For sale,TopsTexTopYshirtsLDenim2,11420,vC73aJgtN8EcXwEPu
1676 denim jacket,Black,No,1400,350,Black,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy,Yes,For sale,TopsTexTopYshirtsLDenim3,11421,RqRTGFXXvA9dtNZzR
1677 denim jacket,White,No,1400,350,White,White,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy,Yes,For sale,TopsTexTopYshirtsLDenim4,11422,5mgwfCX3WRSjR9gKH
1678 denim vest,Washed out,No,1120,280,Light blue,White,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Active,everyday; outdoorsy; vacation,Yes,For sale,TopsTexTopYshirtsNDenim0,3227,bsKHBDYFQYzenCMWe
1679 denim vest,Blue,No,1120,280,Blue,White,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Active,everyday; outdoorsy; vacation,Yes,For sale,TopsTexTopYshirtsNDenim1,11423,fiG8332CMwcmRsKej
1680 denim vest,Navy blue,No,1120,280,Blue,White,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Active,everyday; outdoorsy; vacation,Yes,For sale,TopsTexTopYshirtsNDenim2,11424,rDtYmTwRQppyRhGxs
1681 denim vest,Black,No,1120,280,Black,White,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Active,everyday; outdoorsy; vacation,Yes,For sale,TopsTexTopYshirtsNDenim3,11425,g5rATHLtCkmNMixKn
1682 denim vest,White,No,1120,280,White,White,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Active,everyday; outdoorsy; vacation,Yes,For sale,TopsTexTopYshirtsNDenim4,11426,AXHy2vpWNQrhJm8Lm
1683 detective's coat,Brown,No,2500,625,Brown,Brown,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,work,Yes,For sale,TopsTexTopCoatLDetective0,4681,JPpE2qr6ZvkMgym8e
1684 detective's coat,Gray,No,2500,625,Gray,Gray,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,work,Yes,For sale,TopsTexTopCoatLDetective1,9231,2oTF5bd7oJ5vioo8y
1685 detective's coat,Beige,No,2500,625,Beige,Beige,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Elegant,work,Yes,For sale,TopsTexTopCoatLDetective2,9232,QcsEmZRoLXiqQxPXZ
1686 diner apron,Pink,No,840,210,Pink,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,work,Yes,For sale,TopsTexTopCoatLDiner0,9815,hKRnjmGtdw7ifKnDd
1687 diner apron,Red,No,840,210,Red,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,work,Yes,For sale,TopsTexTopCoatLDiner1,12086,9TY47EoQFbH7rnLge
1688 diner apron,Blue,No,840,210,Blue,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,work,Yes,For sale,TopsTexTopCoatLDiner2,12087,mQyhdDXtR6ow8nQ9g
1689 diner apron,Yellow,No,840,210,Yellow,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,work,Yes,For sale,TopsTexTopCoatLDiner3,12088,JeP6Lj2TmjDgco9Cz
1690 diner apron,Aquamarine,No,840,210,Green,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,work,Yes,For sale,TopsTexTopCoatLDiner4,12089,EckXP3CvaANkKJ3ZW
1691 diner apron,Cream,No,840,210,Beige,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,work,Yes,For sale,TopsTexTopCoatLDiner5,12090,y5FCJj7CYrby2zny2
1692 diner apron,Black,No,840,210,Black,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,work,Yes,For sale,TopsTexTopCoatLDiner6,12091,sfqudTHj4v9szgLWR
1693 doctor's coat,Red necktie,No,2160,540,White,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,work,Yes,For sale,TopsTexTopCoatLWhitecoat0,3174,HRqmqmYxu9Lqva6ga
1694 doctor's coat,Black necktie,No,2160,540,White,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,work,Yes,For sale,TopsTexTopCoatLWhitecoat1,7794,LudiJsF9ut7zd2f7X
1695 dolly shirt,Pink,No,960,240,Pink,Pink,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Cute,everyday; fairy tale,Yes,For sale,TopsTexTopPuffHDolly0,9828,P44fsEoB5vHDC9vxu
1696 dolly shirt,Blue,No,960,240,Light blue,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Cute,everyday; fairy tale,Yes,For sale,TopsTexTopPuffHDolly1,11952,AcacBmTTXMoCpthvT
1697 dolly shirt,Yellow,No,960,240,Yellow,Orange,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Cute,everyday; fairy tale,Yes,For sale,TopsTexTopPuffHDolly2,11953,su4iyqrqQ2LXC5nfW
1698 dolly shirt,Purple,No,960,240,Purple,Pink,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Cute,everyday; fairy tale,Yes,For sale,TopsTexTopPuffHDolly3,11954,8wbvDqr4vrJSXyppS
1699 dotted raincoat,Light blue,No,1600,400,Light blue,Pink,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,outdoorsy,Yes,For sale,TopsTexTopCoatLRaindot0,9775,B2y5zLsQkKmStGJAo
1700 dotted raincoat,Pink,No,1600,400,Pink,Orange,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,outdoorsy,Yes,For sale,TopsTexTopCoatLRaindot1,11922,vL2d24fN4NHbkAMym
1701 dotted raincoat,Green,No,1600,400,Green,Yellow,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,outdoorsy,Yes,For sale,TopsTexTopCoatLRaindot2,11923,oTWYurenFd5465dd7
1702 dotted raincoat,Blue,No,1600,400,Blue,Green,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,outdoorsy,Yes,For sale,TopsTexTopCoatLRaindot3,11924,KCX7QtFpAD5uX7g9y
1703 dotted raincoat,Turquoise,No,1600,400,Light blue,Yellow,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,outdoorsy,Yes,For sale,TopsTexTopCoatLRaindot4,11925,jLLh5vTebtEGB9Syr
1704 dotted raincoat,Gray,No,1600,400,Gray,Yellow,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,outdoorsy,Yes,For sale,TopsTexTopCoatLRaindot5,11926,qPRwDY8PHvxaJuReF
1705 doublet,Black,No,1520,380,Black,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; theatrical; work,Yes,For sale,TopsTexTopYshirtsLDoublet0,6029,aXx3xZhshp2R24jw2
1706 doublet,Blue,No,1520,380,Blue,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; theatrical; work,Yes,For sale,TopsTexTopYshirtsLDoublet1,8285,caY3QTAeAh6L3eoQZ
1707 doublet,Green,No,1520,380,Green,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; theatrical; work,Yes,For sale,TopsTexTopYshirtsLDoublet2,8286,f4fTgyZmKuZyazcJN
1708 doublet,Red,No,1520,380,Red,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; theatrical; work,Yes,For sale,TopsTexTopYshirtsLDoublet3,8287,97pWWGfGAEefhejRP
1709 down jacket,Blue,No,1120,280,Blue,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Active,everyday; outdoorsy,Yes,For sale,TopsTexTopOuterLDownjacket0,2778,KrL2xGPw4hkDGAMpw
1710 down jacket,Black,No,1120,280,Black,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Active,everyday; outdoorsy,Yes,For sale,TopsTexTopOuterLDownjacket1,8308,LZEHcozJ4hvs2f77j
1711 down jacket,Red,No,1120,280,Red,Red,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Active,everyday; outdoorsy,Yes,For sale,TopsTexTopOuterLDownjacket2,8309,zFkodsTyjRR5KhAWc
1712 down jacket,White,No,1120,280,White,White,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Active,everyday; outdoorsy,Yes,For sale,TopsTexTopOuterLDownjacket3,8310,bug5x399raaQJMBfc
1713 down jacket,Green,No,1120,280,Green,Green,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Active,everyday; outdoorsy,Yes,For sale,TopsTexTopOuterLDownjacket4,8311,FHNcfer97tNSwEP4k
1714 down jacket,Yellow,No,1120,280,Yellow,Yellow,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Active,everyday; outdoorsy,Yes,For sale,TopsTexTopOuterLDownjacket5,8312,x8rLNy5SaYDfkoLBC
1715 down jacket,Orange,No,1120,280,Orange,Orange,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Active,everyday; outdoorsy,Yes,For sale,TopsTexTopOuterLDownjacket6,8313,trHwCjrin99NECa5E
1716 down jacket,Lime,No,1120,280,Green,Green,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Active,everyday; outdoorsy,Yes,For sale,TopsTexTopOuterLDownjacket7,8314,Dbzx8w3zjmdf9oTad
1717 down ski jacket,Red & yellow,No,1680,420,Red,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,outdoorsy; sporty,Yes,For sale,TopsTexTopOuterLSkidown0,4735,E5BDtcZ3d2SorxBwt
1718 down ski jacket,Blue & green,No,1680,420,Blue,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,Winter,Yes,1.0.0,Active,outdoorsy; sporty,Yes,For sale,TopsTexTopOuterLSkidown1,8334,H5TjQxYanEBbPrp92
1719 down ski jacket,Navy & blue,No,1680,420,Blue,Light blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,outdoorsy; sporty,Yes,For sale,TopsTexTopOuterLSkidown2,8335,JP4jdFRdHfjAxvw5s
1720 down ski jacket,Navy & red,No,1680,420,Blue,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,Winter,No,1.0.0,Active,outdoorsy; sporty,Yes,For sale,TopsTexTopOuterLSkidown3,8336,S93NjqjcSsinW7vGy
1721 dragon jacket,NA,No,2000,500,Black,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,Winter,Yes,1.0.0,Active,outdoorsy,Yes,For sale,TopsTexTopOuterLSukajandragonBlack,3256,P87yK7fWJs6bj6TYg
1722 dreamy sweater,Pink,No,1440,360,Pink,Light blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Cute,fairy tale; comfy,Yes,For sale,TopsTexTopOuterLYumekawa0,3635,enm7L67ic3tGrgnbX
1723 dreamy sweater,Blue,No,1440,360,Blue,Purple,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,No,1.0.0,Cute,fairy tale; comfy,Yes,For sale,TopsTexTopOuterLYumekawa1,8001,7m4fHzDm6QzyCdReb
1724 dress shirt,White,No,560,140,White,White,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; formal; work,Yes,For sale,TopsTexTopYshirtsLStandard0,2823,dDtpewbT3ZAXinyPA
1725 dress shirt,Gray,No,560,140,Gray,Gray,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; formal; work,Yes,For sale,TopsTexTopYshirtsLStandard1,8337,kEa65RHQj8m2e45iW
1726 dress shirt,Mint,No,560,140,Green,Green,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; formal; work,Yes,For sale,TopsTexTopYshirtsLStandard2,8338,mQqbQPJKfgqGHwDxj
1727 dress shirt,Pink,No,560,140,Pink,Pink,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; formal; work,Yes,For sale,TopsTexTopYshirtsLStandard3,8339,RBXCCu5J2bqSBt3AT
1728 dress shirt,Blue,No,560,140,Blue,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; formal; work,Yes,For sale,TopsTexTopYshirtsLStandard4,8340,L88LYrMAXuKeyAA5Y
1729 earbuds combo,Brown,No,1400,350,Brown,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Cool,everyday; comfy,Yes,For sale,TopsTexTopTshirtsLEarphone0,4610,TAqWXoLXei58ghDxY
